day,topic_id,tweets_total,tweets_lv_ru_en,tweets_lv,tweets_ru,tweets_en,users_lv,users_ru,users_en
2017-12-17 00:00:00,LV001,37,36,0.97,0.00,0.03,0.97,0.01,0.03
2017-12-18 00:00:00,LV001,49,47,0.87,0.11,0.02,0.85,0.12,0.03
2017-12-19 00:00:00,LV001,55,55,0.91,0.07,0.02,0.89,0.08,0.03
2017-12-20 00:00:00,LV001,59,58,0.76,0.16,0.09,0.75,0.15,0.10
2017-12-21 00:00:00,LV001,57,57,0.93,0.07,0.00,0.91,0.07,0.02
2017-12-22 00:00:00,LV001,35,35,0.91,0.09,0.00,0.90,0.08,0.02
2017-12-23 00:00:00,LV001,35,35,0.86,0.11,0.03,0.83,0.14,0.03
2017-12-24 00:00:00,LV001,24,24,0.83,0.12,0.04,0.85,0.12,0.02
2017-12-25 00:00:00,LV001,20,20,0.90,0.10,0.00,0.90,0.10,0.00
2017-12-26 00:00:00,LV001,20,20,0.90,0.10,0.00,0.88,0.10,0.02
2017-12-27 00:00:00,LV001,31,31,0.84,0.10,0.06,0.90,0.07,0.03
2017-12-28 00:00:00,LV001,21,21,0.95,0.05,0.00,0.94,0.05,0.02
2017-12-29 00:00:00,LV001,32,32,0.59,0.37,0.03,0.59,0.37,0.04
2017-12-30 00:00:00,LV001,23,23,0.87,0.13,0.00,0.83,0.14,0.03
2017-12-31 00:00:00,LV001,39,39,0.87,0.13,0.00,0.86,0.13,0.01
2018-01-01 00:00:00,LV001,12,12,0.92,0.08,0.00,0.92,0.08,0.00
2018-01-02 00:00:00,LV001,34,34,0.79,0.21,0.00,0.79,0.20,0.01
2018-01-03 00:00:00,LV001,41,41,0.93,0.05,0.02,0.94,0.05,0.02
2018-01-04 00:00:00,LV001,32,31,0.97,0.03,0.00,0.98,0.02,0.01
2018-01-05 00:00:00,LV001,28,28,0.93,0.07,0.00,0.92,0.07,0.01
2018-01-06 00:00:00,LV001,42,42,0.64,0.10,0.26,0.77,0.10,0.13
2018-01-07 00:00:00,LV001,52,52,0.85,0.13,0.02,0.81,0.15,0.03
2018-01-08 00:00:00,LV001,41,40,0.85,0.12,0.02,0.82,0.15,0.04
2018-01-09 00:00:00,LV001,55,54,0.94,0.04,0.02,0.93,0.03,0.04
2018-01-10 00:00:00,LV001,37,37,0.78,0.00,0.22,0.93,0.00,0.07
2018-01-11 00:00:00,LV001,46,46,0.87,0.02,0.11,0.96,0.02,0.02
2018-01-12 00:00:00,LV001,50,50,0.90,0.10,0.00,0.89,0.10,0.01
2018-01-13 00:00:00,LV001,18,18,0.89,0.11,0.00,0.88,0.11,0.01
2018-01-14 00:00:00,LV001,20,19,0.74,0.26,0.00,0.69,0.30,0.02
2018-01-15 00:00:00,LV001,47,47,0.83,0.06,0.11,0.84,0.06,0.10
2018-01-16 00:00:00,LV001,53,53,0.96,0.02,0.02,0.92,0.04,0.04
2018-01-17 00:00:00,LV001,75,75,0.81,0.11,0.08,0.81,0.11,0.08
2018-01-18 00:00:00,LV001,75,73,0.93,0.05,0.01,0.89,0.07,0.04
2018-01-19 00:00:00,LV001,65,65,0.92,0.06,0.02,0.91,0.06,0.03
2018-01-20 00:00:00,LV001,29,29,0.90,0.07,0.03,0.89,0.06,0.05
2018-01-21 00:00:00,LV001,34,33,0.91,0.06,0.03,0.86,0.07,0.07
2018-01-22 00:00:00,LV001,123,122,0.85,0.11,0.03,0.82,0.12,0.05
2018-01-23 00:00:00,LV001,51,51,0.90,0.06,0.04,0.91,0.04,0.04
2018-01-24 00:00:00,LV001,139,137,0.88,0.05,0.07,0.86,0.07,0.07
2018-01-25 00:00:00,LV001,48,48,0.92,0.04,0.04,0.94,0.05,0.02
2018-01-26 00:00:00,LV001,78,76,0.96,0.04,0.00,0.93,0.05,0.02
2018-01-27 00:00:00,LV001,58,58,0.93,0.05,0.02,0.88,0.05,0.07
2018-01-28 00:00:00,LV001,38,38,0.89,0.08,0.03,0.88,0.08,0.04
2018-01-29 00:00:00,LV001,39,39,0.97,0.03,0.00,0.97,0.03,0.00
2018-01-30 00:00:00,LV001,72,72,0.81,0.14,0.06,0.79,0.13,0.08
2018-01-31 00:00:00,LV001,48,48,0.90,0.06,0.04,0.89,0.07,0.04
2018-02-01 00:00:00,LV001,47,47,0.85,0.06,0.09,0.84,0.06,0.09
2018-02-02 00:00:00,LV001,52,51,0.88,0.10,0.02,0.87,0.10,0.03
2018-02-03 00:00:00,LV001,21,21,0.90,0.10,0.00,0.84,0.12,0.04
2018-02-04 00:00:00,LV001,40,40,0.92,0.05,0.02,0.92,0.05,0.03
2018-02-05 00:00:00,LV001,91,91,0.89,0.09,0.02,0.88,0.09,0.03
2018-02-06 00:00:00,LV001,99,99,0.92,0.05,0.03,0.90,0.05,0.05
2018-02-07 00:00:00,LV001,83,82,0.91,0.02,0.06,0.89,0.03,0.08
2018-02-08 00:00:00,LV001,41,41,0.88,0.05,0.07,0.85,0.05,0.10
2018-02-09 00:00:00,LV001,50,50,0.80,0.04,0.16,0.79,0.04,0.17
2018-02-10 00:00:00,LV001,42,42,0.74,0.17,0.10,0.76,0.17,0.07
2018-02-11 00:00:00,LV001,24,24,0.75,0.25,0.00,0.71,0.25,0.04
2018-02-12 00:00:00,LV001,42,42,0.71,0.12,0.17,0.74,0.12,0.14
2018-02-13 00:00:00,LV001,41,41,0.90,0.10,0.00,0.88,0.10,0.02
2018-02-14 00:00:00,LV001,31,31,0.97,0.03,0.00,0.96,0.04,0.01
2018-02-15 00:00:00,LV001,52,52,0.92,0.04,0.04,0.92,0.03,0.05
2018-02-16 00:00:00,LV001,45,44,0.82,0.07,0.11,0.82,0.07,0.11
2018-02-17 00:00:00,LV001,46,45,0.71,0.04,0.24,0.75,0.04,0.20
2018-02-18 00:00:00,LV001,36,36,0.78,0.00,0.22,0.79,0.00,0.21
2018-02-19 00:00:00,LV001,54,54,0.96,0.00,0.04,0.95,0.00,0.05
2018-02-20 00:00:00,LV001,31,31,0.77,0.06,0.16,0.77,0.07,0.16
2018-02-21 00:00:00,LV001,37,37,0.89,0.03,0.08,0.89,0.03,0.09
2018-02-22 00:00:00,LV001,41,41,0.95,0.05,0.00,0.94,0.05,0.01
2018-02-23 00:00:00,LV001,112,111,0.96,0.03,0.01,0.94,0.04,0.02
2018-02-24 00:00:00,LV001,40,39,0.85,0.03,0.13,0.81,0.03,0.16
2018-02-25 00:00:00,LV001,34,31,0.87,0.10,0.03,0.87,0.09,0.04
2018-02-26 00:00:00,LV001,71,71,0.92,0.07,0.01,0.91,0.07,0.02
2018-02-27 00:00:00,LV001,46,46,0.72,0.22,0.07,0.69,0.22,0.09
2018-02-28 00:00:00,LV001,50,50,0.96,0.04,0.00,0.95,0.04,0.02
2018-03-01 00:00:00,LV001,72,72,0.86,0.14,0.00,0.86,0.12,0.02
2018-03-02 00:00:00,LV001,58,58,0.83,0.05,0.12,0.91,0.05,0.03
2018-03-03 00:00:00,LV001,35,35,0.86,0.09,0.06,0.88,0.09,0.04
2018-03-04 00:00:00,LV001,25,25,0.76,0.08,0.16,0.83,0.10,0.06
2018-03-05 00:00:00,LV001,25,25,0.92,0.08,0.00,0.90,0.08,0.02
2018-03-06 00:00:00,LV001,22,22,1.00,0.00,0.00,0.95,0.01,0.04
2018-03-07 00:00:00,LV001,37,37,0.92,0.05,0.03,0.89,0.05,0.06
2018-03-08 00:00:00,LV001,50,50,0.84,0.08,0.08,0.81,0.09,0.10
2018-03-09 00:00:00,LV001,35,35,1.00,0.00,0.00,0.97,0.00,0.02
2018-03-10 00:00:00,LV001,27,27,0.78,0.22,0.00,0.75,0.23,0.03
2018-03-11 00:00:00,LV001,25,25,1.00,0.00,0.00,0.98,0.00,0.02
2018-03-12 00:00:00,LV001,35,35,0.89,0.11,0.00,0.86,0.12,0.02
2018-03-13 00:00:00,LV001,35,35,0.91,0.09,0.00,0.88,0.10,0.02
2018-03-14 00:00:00,LV001,23,23,0.83,0.09,0.09,0.81,0.09,0.10
2018-03-15 00:00:00,LV001,17,17,0.76,0.24,0.00,0.73,0.26,0.01
2018-03-16 00:00:00,LV001,18,18,0.83,0.17,0.00,0.79,0.16,0.05
2018-03-17 00:00:00,LV001,19,19,0.95,0.05,0.00,0.92,0.05,0.03
2018-03-18 00:00:00,LV001,10,10,0.80,0.20,0.00,0.79,0.20,0.01
2018-03-19 00:00:00,LV001,21,21,0.86,0.14,0.00,0.85,0.14,0.00
2018-03-20 00:00:00,LV001,45,45,0.80,0.09,0.11,0.79,0.09,0.11
2018-03-21 00:00:00,LV001,40,40,0.92,0.02,0.05,0.89,0.04,0.06
2018-03-22 00:00:00,LV001,27,27,0.81,0.19,0.00,0.81,0.15,0.04
2018-03-23 00:00:00,LV001,16,16,0.87,0.06,0.06,0.87,0.06,0.07
2018-03-24 00:00:00,LV001,16,16,0.94,0.00,0.06,0.96,0.00,0.03
2018-03-25 00:00:00,LV001,20,20,0.90,0.05,0.05,0.88,0.05,0.07
2018-03-26 00:00:00,LV001,16,16,1.00,0.00,0.00,1.00,0.00,0.00
2018-03-27 00:00:00,LV001,34,34,0.88,0.12,0.00,0.87,0.11,0.02
2018-03-28 00:00:00,LV001,14,14,1.00,0.00,0.00,0.99,0.00,0.01
2018-03-29 00:00:00,LV001,32,32,0.97,0.03,0.00,0.95,0.04,0.01
2018-03-30 00:00:00,LV001,76,76,0.84,0.05,0.11,0.81,0.05,0.13
2018-03-31 00:00:00,LV001,58,58,0.88,0.07,0.05,0.79,0.07,0.14
