Screen name,Latvian,Russian,English,Total
LittleCocainum,,146,1,147
finkladd,,,146,146
redsunbuffet,142,3,1,146
eerms,140,,5,145
@breakinglv,140,1,3,144
EdgarsGaross,140,,1,141
EmbassyRiga,1,,140,141
Sheins50,135,,6,141
arrrinx,1,130,10,141
jenss1983,120,,21,141
lizastrazdinya,1,137,2,140
whitemoonmafia,18,25,95,138
5899339b0a334bf,1,135,1,137
littleowlsandra,,123,14,137
JMuiznieks,108,,26,134
dianabangg,,128,5,133
mansards_apg,131,,2,133
olezka290156,,133,,133
Annaprofilee,,129,3,132
eXeriusSC,1,,131,132
yournichkaa,,132,,132
RenarsKrigers,127,,3,130
Lillgerdan,,,128,128
TomsKalnitis,128,,,128
masha_sharapa,,124,4,128
Paganel72,,90,37,127
anomalyxd,,,127,127
duratupaja,,112,15,127
empathedxpa,75,,52,127
MissCoookiez,,,126,126
SubCultureScene,4,66,56,126
antisepiceye3,,,126,126
irinaShupegina,,120,6,126
marruciic,93,,33,126
RigasIpasumaDep,124,1,,125
ASlikmes,2,,122,124
lolucek,,124,,124
yuyukinar,1,121,2,124
1wSvens,121,,1,122
sofija1151,2,118,2,122
MarijaNikulina,1,,120,121
prazdnova_,1,120,,121
HenrietaVerho,119,,1,120
TheRealTypeBeat,,,120,120
@janisroze,119,,,119
NasNastjushka,,116,3,119
katrina9902,,116,1,117
@lvhandball,116,,,116
justmihaaa,,114,2,116
Milana_Hreyman,1,112,1,114
alusmamuts,68,,46,114
bog_ziv,,113,,113
changingcollars,,104,9,113
cneitzert,,,113,113
Lusitanica,,95,17,112
Mesmaarcans,109,,3,112
belyaevaannett,,110,2,112
ernestsd,105,,7,112
andrisgrafs,108,,3,111
NerinaFinetto,,,110,110
kxrtnija,20,,90,110
l_pantelejeva,,109,1,110
LaurisLiepa,99,1,9,109
GunaSkangale,107,,1,108
sicis,105,,3,108
AndrisGobins,104,,3,107
MaraKrontale,107,,,107
Space0Writer,45,11,51,107
moonslutty,,107,,107
Jurisu,5,,101,106
Shmakova19,,105,,105
behmanis,102,,3,105
Kompresori,29,29,46,104
Koknesesbibliot,103,,,103
Kvinteson,,70,33,103
dirtyserpent,,102,1,103
kasprs,55,1,47,103
Krista_Baumane,93,,9,102
lolita_cigane,93,,9,102
GuntarsRacs,98,,3,101
Marablaise,,,101,101
